Feature	domain	phylum	class	order	family	genus	species	ASV
681e8f7087774bbcdcd443fd83131569	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned_Sphingomonas	681e8f7087774bbcdcd443fd83131569
f3d5da5e044ddc397292eeff1c74e5b9	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Unassigned_Turicibacter	f3d5da5e044ddc397292eeff1c74e5b9
7db57a56a697377d2544af1d550b4a94	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unassigned_RB41	7db57a56a697377d2544af1d550b4a94
30dbebc8e8fddd90bf96b8397e990bdc	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Unassigned_Ruminococcus	30dbebc8e8fddd90bf96b8397e990bdc
0c9743c7cb1680dba608bb21e537212b	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned_Fusobacterium	0c9743c7cb1680dba608bb21e537212b
09eef505d8fa68d2f97be40b3a3dee67	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Unassigned_Fimbriimonas	09eef505d8fa68d2f97be40b3a3dee67
a9efd6681c0163d5c5187c1e34aec961	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Unassigned_Chloroplast	a9efd6681c0163d5c5187c1e34aec961
56afe6e2885cdde2d3e6009a2a2f2fbe	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unassigned_Actinomyces	56afe6e2885cdde2d3e6009a2a2f2fbe
b75b14ba8622dbc11ad8e4d67f04ea94	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned_Leptotrichia	b75b14ba8622dbc11ad8e4d67f04ea94
74446ba06b9ad9937eda02e0e63c7756	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Unassigned_Capnocytophaga	74446ba06b9ad9937eda02e0e63c7756
7a9f147200fe56c0d81a317449c01c51	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Unassigned_Tetragenococcus	7a9f147200fe56c0d81a317449c01c51
82b12b6211a993ddbdff879d5f5e4e30	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus	82b12b6211a993ddbdff879d5f5e4e30
b4007e028e20f310606d336a6cc1ab22	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned_Acinetobacter	b4007e028e20f310606d336a6cc1ab22
f17f99d70cb6507a68baf5355cba5d27	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned_Streptococcus	f17f99d70cb6507a68baf5355cba5d27
3e628a3501a17cb41cfe81b1e2dc20a4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Unassigned_Mitochondria	3e628a3501a17cb41cfe81b1e2dc20a4
3d299f76b6b24895841eb8262a4f2845	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	R7C24	R7C24	Unassigned_R7C24	3d299f76b6b24895841eb8262a4f2845
251def679a48af8acaae655e26f09981	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unassigned_Paracoccus	251def679a48af8acaae655e26f09981
c4e82d347f4d4941d394802b703750bf	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Unassigned_Legionella	c4e82d347f4d4941d394802b703750bf
