pathway,processes,12858.0BR.3.R1.fastq.gz,12858.0KC.2.R1.fastq.gz,12858.0MR.4.R1.fastq.gz,12858.0TB.1.R1.fastq.gz,12858.10BR.49.R1.fastq.gz,12858.10KC.47.R1.fastq.gz,12858.10MR.50.R1.fastq.gz,12858.10TB.46.R1.fastq.gz,12858.11BR.52.R1.fastq.gz,12858.11KC.51.R1.fastq.gz,12858.11MR.53.R1.fastq.gz,12858.11TB.81.R1.fastq.gz,12858.12BR.56.R1.fastq.gz,12858.12KC.55.R1.fastq.gz,12858.12MR.57.R1.fastq.gz,12858.12TB.54.R1.fastq.gz,12858.13BR.60.R1.fastq.gz,12858.13KC.59.R1.fastq.gz,12858.13MR.61.R1.fastq.gz,12858.13TB.58.R1.fastq.gz,12858.14BR.64.R1.fastq.gz,12858.14KC.63.R1.fastq.gz,12858.14MR.65.R1.fastq.gz,12858.14TB.62.R1.fastq.gz,12858.15BR.68.R1.fastq.gz,12858.15KC.67.R1.fastq.gz,12858.15MR.69.R1.fastq.gz,12858.15TB.66.R1.fastq.gz,12858.16BR.72.R1.fastq.gz,12858.16KC.71.R1.fastq.gz,12858.16MR.73.R1.fastq.gz,12858.16TB.70.R1.fastq.gz,12858.17BR.76.R1.fastq.gz,12858.17KC.75.R1.fastq.gz,12858.17MR.77.R1.fastq.gz,12858.17TB.74.R1.fastq.gz,12858.18BR.82.R1.fastq.gz,12858.18KC.79.R1.fastq.gz,12858.18MR.83.R1.fastq.gz,12858.18TB.78.R1.fastq.gz,12858.19BR.86.R1.fastq.gz,12858.19KC.85.R1.fastq.gz,12858.19MR.87.R1.fastq.gz,12858.19TB.84.R1.fastq.gz,12858.1BR.7.R1.fastq.gz,12858.1KC.6.R1.fastq.gz,12858.1MR.8.R1.fastq.gz,12858.1TB.5.R1.fastq.gz,12858.20BR.90.R1.fastq.gz,12858.20KC.89.R1.fastq.gz,12858.20MR.91.R1.fastq.gz,12858.20TB.88.R1.fastq.gz,12858.21BR.94.R1.fastq.gz,12858.21KC.93.R1.fastq.gz,12858.21MR.95.R1.fastq.gz,12858.21TB.92.R1.fastq.gz,12858.22BR.98.R1.fastq.gz,12858.22KC.97.R1.fastq.gz,12858.22MR.99.R1.fastq.gz,12858.22TB.96.R1.fastq.gz,12858.23BR.102.R1.fastq.gz,12858.23KC.101.R1.fastq.gz,12858.23MR.103.R1.fastq.gz,12858.23TB.100.R1.fastq.gz,12858.24BR.106.R1.fastq.gz,12858.24KC.105.R1.fastq.gz,12858.24MR.107.R1.fastq.gz,12858.24TB.104.R1.fastq.gz,12858.2ABR.15.R1.fastq.gz,12858.2AKC.10.R1.fastq.gz,12858.2AMR.12.R1.fastq.gz,12858.2ATB.9.R1.fastq.gz,12858.2BBR.11.R1.fastq.gz,12858.2BKC.14.R1.fastq.gz,12858.2BMR.16.R1.fastq.gz,12858.2BTB.13.R1.fastq.gz,12858.3BR.19.R1.fastq.gz,12858.3KC.18.R1.fastq.gz,12858.3MR.20.R1.fastq.gz,12858.3TB.17.R1.fastq.gz,12858.4BR.23.R1.fastq.gz,12858.4KC.22.R1.fastq.gz,12858.4MR.25.R1.fastq.gz,12858.4TB.21.R1.fastq.gz,12858.5BR.28.R1.fastq.gz,12858.5KC.27.R1.fastq.gz,12858.5MR.29.R1.fastq.gz,12858.5TB.26.R1.fastq.gz,12858.6BR.32.R1.fastq.gz,12858.6KC.31.R1.fastq.gz,12858.6MR.33.R1.fastq.gz,12858.6TB.30.R1.fastq.gz,12858.7BR.36.R1.fastq.gz,12858.7KC.35.R1.fastq.gz,12858.7MR.37.R1.fastq.gz,12858.7TB.34.R1.fastq.gz,12858.8BR.40.R1.fastq.gz,12858.8KC.39.R1.fastq.gz,12858.8MR.41.R1.fastq.gz,12858.8TB.38.R1.fastq.gz,12858.9BR.44.R1.fastq.gz,12858.9KC.43.R1.fastq.gz,12858.9MR.45.R1.fastq.gz,12858.9TB.42.R1.fastq.gz
METHYLGALLATE-DEGRADATION-PWY,methylgallate-degradation,825.4200135,1448.645114,168.4755756,1194.583331,594.30942,1679.354246,0,239.9108128,423.9624453,847.529475,965.9534013,1759.052083,314.5272022,835.2852051,671.5565722,291.7228853,413.0088253,656.6130709,32.84756796,237.4284482,144.7150082,989.3687114,528.2307076,82.42197392,181.9969312,1363.666975,220.7562337,579.3519875,409.7262887,2532.824837,366.1159111,571.9932271,659.2178885,2150.636149,602.2701343,2086.389021,573.8664979,1505.096161,831.8960969,1578.584994,1096.527587,2599.660571,1253.009146,1015.288031,728.8664829,3470.140509,188.339516,887.3217406,958.3361722,1687.044354,545.6513398,884.7839788,2017.566387,1491.161331,897.7379668,98.65543353,1205.406534,1548.532873,1551.546736,730.2266343,518.5418843,976.749991,563.0897167,1093.213161,1275.296228,2064.700882,1498.945163,533.0380127,1042.492158,735.2098913,572.6980126,696.8205123,598.8343347,936.6071898,253.9888281,1012.893371,1431.821057,879.1104334,259.0114187,1201.948332,806.4740484,4517.51431,1349.691861,1643.507263,603.1699271,2170.713194,895.1693448,1088.606173,815.6192476,2732.024881,500.3648906,1728.290743,336.5630302,3542.271019,2219.497049,200.2092434,270.6896784,3481.853807,1370.441168,1015.275556,175.4226261,1849.104981,1632.123968,180.6864088
NAD-BIOSYNTHESIS-II,NAD-salvage-pathway-II,7104.374648,1533.339249,2178.929109,1016.970242,7169.739277,4439.484046,5219.04426,330.9698471,5150.644632,2075.353863,9280.920157,1760.165649,3071.10993,3140.203015,4662.825337,424.9428936,2674.691798,618.7524052,4174.180708,187.5763849,3593.251359,1332.765542,5397.480364,796.4846567,4056.279508,2739.579084,5240.687904,2445.777212,4559.881804,1282.230766,9020.114684,1142.15155,10645.55762,2457.442521,8474.593343,3457.780368,5637.738254,773.8928823,7738.591893,3544.41176,5705.452746,4920.929045,11844.29675,994.5784085,3345.753445,3676.667787,8450.748539,221.0870667,9527.273564,1105.392464,7321.438694,2684.13149,9374.922858,3752.997484,7971.836458,308.6623784,5517.578397,5868.233675,10636.77084,917.4915566,9924.971396,973.7606103,7564.493939,5054.601914,7220.095409,3974.731948,7150.778893,1362.383086,4388.329324,1379.919613,5959.379088,1488.998148,2037.814673,946.9414885,3128.371019,686.8430872,1607.999056,1674.160758,3319.781393,1175.522391,2897.049476,2332.045971,4731.724491,1358.098549,4720.909987,3549.115553,7198.129696,2466.796332,6176.009175,1991.878199,5747.61306,1664.559966,1805.256023,4058.637093,9350.116514,1367.503869,2322.150339,5190.887278,5818.190859,3050.305678,2484.254327,3311.716433,9154.19586,868.5153384
NADSYN-PWY,NAD-biosynthesis-II-(from-tryptophan),1025.441368,1530.549741,353.8884569,1355.281654,308.2418215,5416.050203,120.3087972,0,800.3647046,3492.701314,883.2475794,555.9396853,831.7218277,3361.895266,746.4190339,1210.080575,0,1150.990958,437.1126534,0,0,3588.328267,803.8367186,0,337.6933834,5876.249955,205.5964874,1220.571661,2171.869203,5872.545801,599.4166135,297.1358117,277.9746456,5159.630452,2273.592817,161.1241239,1147.67193,4382.451368,1133.117109,2188.759273,1402.331194,8986.65531,1117.199147,465.1338038,0,5529.793746,1226.417941,84.56090325,690.0691753,5854.131878,556.1127581,846.2948949,1507.31505,12866.62902,2155.580513,0,408.9163296,7517.901337,2178.509722,0,815.5082451,3478.626855,1676.942744,635.2649244,386.9060632,5884.051579,242.0017261,370.3389133,0,251.3840884,943.100504,0,512.2264603,1194.971919,387.82856,251.4565105,0,1705.541576,565.917095,662.7906837,565.6617194,6640.042996,440.0354725,754.3197451,793.2711149,3667.587423,488.7898881,2294.242476,1317.235042,3852.970205,0,330.7971453,352.1907599,11210.59031,820.3779423,0,437.713642,12575.93261,902.3588795,311.9902066,724.9367214,5145.325142,652.8692354,135.4672614
NAGLIPASYN-PWY,lipid-IVA-biosynthesis,14205.27447,7111.433532,5191.869338,9068.213818,13197.36824,14865.39088,11870.66148,7114.245823,10518.10531,13576.90883,15368.16998,9613.114465,6406.288311,17508.55645,8530.486969,4103.959132,6657.140595,10439.82134,20316.95458,4861.820392,7829.873353,12437.9148,11526.12167,4337.237336,8789.540314,15246.06582,8350.474758,5979.514342,9687.06386,19338.82624,15709.98624,2881.949602,14389.57288,16196.35253,17383.65162,10272.00762,10317.29475,11043.38519,16582.08063,13224.0385,12612.18147,24851.83604,19336.24859,5464.877006,11159.51685,25375.9681,14635.77282,4585.063477,14723.38622,14621.73637,15955.18002,10178.52411,14281.13669,19596.52691,18538.04608,2757.534538,10111.57405,18555.11212,16613.14959,9041.913863,14258.74686,33450.78802,17347.46325,10497.95501,12861.35476,16853.76616,15638.16803,5299.556515,20086.35975,5018.039092,9933.631881,5571.363175,14156.35799,35294.41134,7021.224452,12822.27655,13471.63123,8837.813655,8025.057711,8467.103493,11511.86016,24285.00064,11229.74767,8746.306315,9341.489294,19621.70273,14135.7253,9221.456358,12827.37444,16906.31761,9179.227716,10001.55863,6396.255507,24397.36796,20780.12226,3748.293438,11089.17615,24398.88564,11694.8256,9450.496864,9041.010694,15720.88536,14854.90653,4514.070369
NONMEVIPP-PWY,methylerythritol-phosphate-pathway-I,29386.39916,12809.94343,9309.173624,21148.30977,19795.98225,25480.09425,18631.03452,18394.89088,18976.61389,14878.55414,22443.35916,25553.83096,12563.84761,22353.84063,14451.7555,13457.13583,13849.12362,15183.44839,21068.08859,15371.12887,16193.85941,15877.17022,20368.61342,15805.07947,16205.46517,20723.76769,12618.33368,17681.1909,20793.88712,23401.12412,12125.30975,12488.51615,16289.6436,22507.08975,23353.67773,24807.25292,13780.60166,15938.42087,26788.44224,26391.53864,25434.21609,30831.70333,19626.82468,17798.67679,23316.80672,21959.14023,15446.53149,14514.76883,20750.49989,25045.46842,33609.26671,26225.04979,23683.37003,31577.22027,30665.30439,16766.15154,30020.88656,29154.70884,24853.74165,24858.2615,25863.42036,40097.08418,28013.30097,30973.44839,27342.27233,29195.36868,25363.1828,20602.26451,30607.29596,21585.68208,13953.40042,19467.60498,26718.43132,35926.18646,28490.44096,27935.74943,26120.98042,12013.42269,17015.24929,18113.84794,21391.24578,29427.09216,18281.1307,20397.43753,9886.602213,28384.64979,20241.00318,15911.40758,24659.67693,21618.23623,16529.21613,21761.52322,16990.51362,32182.63051,31026.07963,7127.610944,16220.26793,34957.94329,24317.43253,25458.74612,17432.70939,21814.17383,21323.22448,11784.82698
NONOXIPENT-PWY,pentose-phosphate-pathway-(non-oxidative-branch),39377.65485,21962.24026,14421.76806,32955.82591,30190.73147,38605.66669,26471.60126,31870.61361,27242.93562,25817.6028,33366.0031,36864.6204,18746.98228,34686.52107,21630.37973,20539.41404,19556.41822,22834.67962,29348.00434,22739.52722,22807.61153,24029.4638,28052.90995,21810.30938,22867.23017,31472.03242,19479.04689,27213.95993,28232.22403,33950.11698,23590.03262,17272.40375,22893.35068,34517.37313,32627.82373,37696.04863,20920.82657,23981.57437,38735.30402,37182.79253,36565.39356,44557.1995,36192.12905,27325.6996,34801.22754,37121.4054,27542.73358,24570.62935,33495.24629,33738.32195,46683.72792,34398.92014,35319.09016,45783.40905,44589.76188,24668.00417,39528.39869,42389.54483,36995.71031,38084.27884,35568.86656,47678.35174,44120.92389,45055.20249,39654.40866,42107.71194,39524.52725,27777.40128,45743.55291,25488.20435,22190.98012,29481.47874,36740.12551,76316.99816,33663.81582,39743.77977,39920.72652,37669.70931,24861.47676,29191.3193,32214.78559,46372.11838,27844.72935,32032.47418,14215.4306,43469.05052,29125.42254,23977.95918,37363.08086,35791.58391,23713.86614,35901.04444,23916.28911,47672.1495,47294.9351,11303.61131,29513.75209,49525.99307,35898.87528,38634.2374,26072.00484,32841.94868,31461.54348,16386.93129
OANTIGEN-PWY,O-antigen-building-blocks-biosynthesis-(E.-coli),28008.6918,17170.69145,9894.414349,20393.02366,21462.08533,27970.20339,19547.0589,16335.63033,19380.87589,17872.29728,23411.57986,24233.86488,12151.71545,24516.62439,15614.68261,12876.16389,13201.78496,17248.14038,23755.71367,10781.03939,15408.97496,17160.07646,19845.31295,12213.63949,15495.19432,23323.18069,13132.62824,16123.69374,19592.90442,25798.02246,14611.9652,10617.89792,14723.79137,24975.18588,24163.72465,23544.62042,14127.74947,18284.50307,27361.87285,24365.09586,24441.09823,32782.01489,22041.63553,17555.43588,20924.16018,25987.19157,18243.51291,14070.07307,20508.35578,27198.9868,29707.87428,24144.40586,25013.40091,34959.44973,31151.18842,14937.52353,27233.81712,33443.35135,25032.6375,20775.71771,24072.75143,43901.40307,34134.31321,27704.83681,24466.36513,33137.69544,28961.70815,18204.83288,32535.19086,14701.61084,15346.91992,16771.90172,24718.03661,39983.90899,16314.07814,24888.45602,26227.28404,34047.34406,17684.41508,16856.40087,21363.0988,37516.681,19009.88737,21383.33354,9961.348506,33392.24838,20915.5842,16991.93846,25192.66182,26512.04129,16935.92513,21944.61706,13312.67209,35928.027,32987.517,7602.315063,16289.04094,38986.92147,23963.16433,22149.57811,16236.28056,24593.75477,22183.64151,11101.36739
ORNARGDEG-PWY,superpathway-of-L-arginine-and-L-ornithine-degradation,2069.358976,1213.770828,870.6095324,515.9044992,3881.882663,3337.427088,2602.569273,53.5497764,3041.925004,2658.772166,3630.983715,845.3061881,1352.402493,4333.718772,2148.027443,214.6766153,1510.625117,1045.978651,2289.152726,194.6932258,1163.024862,1207.062265,3257.83026,41.66027824,2045.275656,1251.436648,3980.232033,1409.517903,2510.167747,1085.227148,4695.79927,850.5847573,3600.270446,2539.7479,4458.24996,1280.152621,4801.017404,1083.036797,5081.584638,602.1181046,4377.537919,3829.152526,6543.33185,268.3782426,2139.825357,3004.644881,4506.538567,439.9288009,5399.273754,1038.348323,3798.437193,1058.346693,5170.319528,1707.589234,5736.966321,105.2922597,1906.575525,3829.333288,5760.178652,776.5154624,4147.635085,1392.627092,5493.689194,1695.900452,2902.01012,4088.786828,4044.436537,882.8185803,2706.3652,1525.469212,3644.970051,1140.552929,1016.910677,848.1662549,2339.626689,664.1137788,1297.064148,824.7757828,2356.310017,1025.891122,2507.196739,1744.721865,3689.317101,638.2004078,3205.233725,2815.95788,3213.877954,1284.408679,4806.800721,1688.585338,2226.309396,1277.204956,1229.178415,3220.188155,4961.956494,1004.592373,782.0519561,5590.016686,2460.110857,1082.448787,1564.294264,2698.40317,3631.24461,981.2030577
ORNDEG-PWY,superpathway-of-ornithine-degradation,3351.744618,1883.725232,833.0431861,0,6304.826137,7425.144646,4504.589893,0,4488.488909,7747.903783,6573.349701,0,3314.556566,8458.43505,4139.646459,422.1277467,2652.444353,4432.446775,34031.63159,1485.522897,1412.114164,6255.181935,6172.553673,0,3423.650986,6039.40565,4798.084368,3853.528665,4162.665905,8386.377228,7815.081811,1809.976295,6801.326618,6484.109125,5060.791128,5007.648716,4921.799102,4551.23435,4849.783753,2912.822453,5879.237565,6630.272005,6602.901311,2667.119481,2968.73837,7902.064983,5115.571142,2257.523988,5158.78765,4661.99873,4740.972372,1909.830661,5324.686199,4615.45767,5580.271019,151.9003896,3440.309718,6944.454613,5460.368683,2889.234311,3805.486582,14737.96415,7720.54678,3957.115836,3540.414296,7856.019559,4811.812917,1794.785761,4565.841737,2289.013571,3374.64707,2460.849159,3132.013716,4617.636182,2666.317039,3242.543419,5749.737255,2919.913086,3000.649878,3437.351242,6936.482266,7150.040413,5335.762037,4314.002935,6482.235765,7402.440368,3422.868223,4899.240202,7038.391225,2318.738478,2547.399697,5691.933315,2222.990144,11444.32444,10391.03693,2273.823231,1421.785786,13861.85985,4703.407859,4012.818146,4015.25154,10015.84004,6319.270037,3025.320314
P101-PWY,ectoine-biosynthesis,8312.392134,2367.056217,1520.061202,2652.975466,1430.230921,5315.720393,1180.984533,1105.838968,2399.280609,1170.234725,1916.783854,3075.763699,3236.954362,1751.736605,1360.95304,2442.364456,1641.507823,1289.046448,356.4223096,892.6758381,2996.333058,2106.169016,1806.937221,1331.960974,3351.131773,7998.982872,1727.420458,3053.753315,3526.013222,10956.97808,178.3683266,2070.095527,975.8749877,7556.737424,3036.420191,1723.539151,2027.344354,6129.992702,2601.49936,3332.82351,3866.736128,4599.986321,1501.842734,3097.105222,5355.845318,2260.614612,1956.055106,2380.599482,3476.364869,7015.459299,4645.936779,4293.988903,2242.604134,8799.436485,2868.539448,1404.094283,3627.101322,7895.978279,1803.14865,3018.769534,2489.4725,5292.095964,1767.54055,3475.657154,2894.036981,13846.55414,2594.468183,3158.707756,6690.876613,1664.786889,2238.417441,3587.643059,4539.212216,618.2951008,2223.230588,2758.019084,6042.707477,1358.695178,4049.206915,2556.381955,4438.712804,4828.545183,1950.858138,4500.936794,2133.358657,3441.095437,814.6261264,3091.808186,3592.449744,4126.055897,1770.350509,2894.523193,2350.004816,11146.88489,1942.406586,1249.990176,1391.372159,12979.63487,2287.681726,4174.323463,2657.409355,5009.917585,1625.703006,1712.51568
P105-PWY,TCA-cycle-IV-(2-oxoglutarate-decarboxylase),33200.87829,14335.34765,10186.08297,16163.24612,24143.43801,33244.70733,19778.52477,10656.14067,21728.2881,20903.75497,25319.29932,25609.02191,15809.22944,28595.74804,16949.7123,9915.141705,15501.18344,19405.7657,13750.17889,10576.19556,17356.01102,21082.77017,23341.68303,12351.51188,18821.20682,29977.21187,15569.49602,18551.34366,24201.19101,33766.75379,19894.45803,12785.43609,19776.49103,31195.69586,29206.13365,24796.57214,16885.46547,22370.34216,31413.10788,25908.19255,29625.70666,41472.50137,31146.24972,19098.88619,23724.4125,33604.54631,22434.24583,13353.81825,29166.87822,33260.06032,36822.41085,26396.74786,30349.51095,43679.47375,37654.9802,16875.62091,36318.70014,38288.02021,32349.97157,20645.31806,30281.27521,31622.8838,33867.83731,32050.485,28237.18334,37011.02903,31835.37015,21900.6851,37063.0307,21306.9002,17017.28686,18293.03354,26358.78839,23854.6612,25536.63359,24504.09394,27940.60204,15605.48506,19348.05385,16151.59714,23117.3992,40978.09845,21465.67619,21342.99399,11227.36965,36219.0583,21413.17636,18886.01251,28055.69536,28325.66647,17590.41042,19702.42592,17233.83098,48513.88852,36893.29875,7385.550533,13959.05934,52612.51648,26527.73372,24432.16913,16364.32215,29636.66732,25632.37618,11899.59479
P108-PWY,pyruvate-fermentation-to-propanoate-I,15382.67271,4005.414689,5432.879889,7869.310181,6740.20964,13599.04312,4839.850527,4562.675284,7694.80169,9754.622473,7100.816207,8752.745404,4350.925292,13793.11658,4449.941141,4534.484119,5569.035413,8934.781607,1551.82956,6646.492431,7094.677176,11709.04265,6559.646135,8228.713578,7336.989704,16525.66556,4497.678066,7159.995995,9784.731163,19033.36158,10415.42241,3391.45916,6681.641293,16119.85314,15927.06514,8652.930817,5678.625181,12619.5211,10892.80715,11209.66787,14281.84805,26001.41983,14156.11868,5628.750301,11686.11325,21561.10121,10795.42874,6179.688585,11924.26211,19741.96833,17179.26386,11712.22361,11335.61027,27283.1753,12841.61931,7323.943927,10892.5536,21614.35913,12307.16724,9573.248907,12508.34723,13327.71571,12384.49175,12085.08027,13086.12545,25294.23796,12664.90264,7551.493387,11829.12388,5883.054018,6289.534265,7850.882481,13091.68506,9745.258327,3352.833261,11879.60998,13738.55881,6357.118059,7031.72367,5996.953582,8833.496101,24349.31105,7691.981959,6282.55288,1604.073123,14896.36895,8688.084703,7812.376345,7775.21795,13197.78061,4356.755369,7732.460282,4642.335484,28523.65268,12032.34182,3137.72839,5375.602728,30366.66647,13000.62385,8667.683815,8326.657511,11572.9397,8261.199623,4201.567045
P122-PWY,heterolactic-fermentation,12082.85715,20076.5394,5080.277774,5512.507481,12269.49392,22511.88175,8246.832964,13482.24886,11532.58099,8570.458568,13462.13993,15929.44758,7834.839134,14189.91009,10045.80617,6702.457561,8285.970076,8936.424638,3481.283698,5545.691049,7639.989712,6731.356505,12673.44865,4862.345184,9104.583513,13095.27026,8168.636711,13714.55973,12718.11562,11687.99726,3500.394804,7527.366428,6024.011475,14826.86793,9917.07911,16700.19453,5794.511831,11395.77736,18130.42499,11476.3035,12896.25874,16768.60212,8654.671194,14409.21529,10972.0733,8337.880945,7392.832819,10676.58117,10808.02473,19297.6236,17744.51771,9706.075352,13719.53387,20954.85663,19718.35804,7622.210116,20047.32948,18881.61792,13360.40279,13102.83162,15592.69115,14583.73397,18616.53311,19544.00607,15503.25119,16443.79471,16054.70614,11007.20164,15041.23874,7866.105143,7717.95182,8324.668713,17477.84641,2174.73983,9872.069517,7306.788256,13223.70122,22453.04704,11669.00853,8566.90204,10407.83477,27037.38459,8422.269602,12063.7911,1250.269407,23426.43372,11287.17519,8034.214381,14895.97364,18459.56327,11148.51176,16525.93368,7152.568706,23030.50564,15405.47369,4932.605021,13122.36551,27384.7808,15359.60484,14302.36834,7971.543102,16920.30872,13600.72193,5618.235947
P124-PWY,Bifidobacterium-shunt,12845.66072,22016.80155,5486.615298,6276.28155,13267.58399,23501.643,9291.687207,16248.13525,12225.16171,8977.446711,14175.07123,17562.78876,8410.663655,14873.82729,10719.90984,8108.848374,8906.815765,9442.660626,3552.551488,7147.381635,8347.180084,6995.93526,13283.1844,5607.374476,9666.484436,14042.44772,8624.021341,15059.99097,13580.71235,12401.31875,3772.555201,8192.953073,6812.45149,15671.28211,10646.29142,18318.90686,6285.515614,12266.44217,19236.91129,12762.43408,13668.69014,17450.61933,9294.517517,15547.67646,12005.26769,8731.955575,8120.499097,12118.55555,11592.03564,20684.13854,19081.08604,10646.02127,14727.02882,22484.88021,20999.38797,8763.63371,24887.39988,19883.823,14354.66481,15059.20183,16772.72128,15629.53647,19876.25048,21646.09054,17082.05263,17092.74468,17276.36771,12171.59762,17169.73991,8916.858069,8389.579507,9472.656233,19236.07603,8015.897935,11564.32121,8381.258988,14152.0533,34254.95645,12535.43802,9958.81193,11200.62489,28891.87205,9351.584735,13034.81373,1378.938896,25047.73392,12135.17206,8650.602032,16190.21444,19963.27344,11998.98102,18397.09151,8066.150567,24129.16418,16441.39083,5387.25158,14721.5372,28678.18886,16687.76977,16311.73775,8567.258181,17647.79004,14333.38892,6144.887186
P125-PWY,superpathway-of-(RR)-butanediol-biosynthesis,8383.351427,1722.00824,2317.466704,2421.944498,7009.033888,9883.04685,6362.348673,1039.841983,5144.465622,7326.138708,7063.26311,3260.027905,4801.505169,7667.702212,5059.609922,891.4347907,3407.126872,5804.997819,19428.86559,1635.433264,4959.819106,7558.521548,5488.024538,2651.17052,5470.349337,8344.839906,3633.688633,3433.462165,5965.34875,8928.4906,3965.222266,4092.68153,2909.007482,8848.204139,7375.359782,3440.758464,3854.012096,7934.810559,6950.399462,3488.175792,8641.722756,9573.323105,7123.867319,4403.048113,6519.850217,4598.747449,3470.226433,1879.021095,8842.860913,10325.61373,9211.284215,4898.855653,9414.883339,11251.35549,9572.087339,4111.579353,4728.861324,8770.798572,7371.088422,4111.206622,7129.943735,11047.34533,9550.485637,5731.158206,5962.724913,8074.307018,8086.532889,6633.271996,6472.025363,2616.607037,4454.347987,3839.709203,5534.060343,2009.931341,5510.531654,2366.271938,5775.703941,4284.764766,5585.604188,3047.527571,7066.611938,11133.11501,4067.619143,4682.573733,5029.409885,8440.525401,6860.830111,4186.016353,8613.075804,5753.332295,6365.480936,3384.783572,4008.526032,13931.1698,8931.676452,1450.588091,1633.235669,15518.81917,6092.028396,5883.379927,3045.867179,9865.857849,6930.622423,3296.562409
P161-PWY,acetylene-degradation,14463.30787,27248.38027,6873.344407,10409.91866,20438.38948,23913.3097,18537.64756,17301.45773,15695.91227,13326.56319,23846.84668,19830.81873,12022.29208,16076.25603,15097.61046,11745.88291,9890.36581,11697.77798,5046.632049,5709.335935,9329.917302,11052.25609,15762.29965,6174.569618,10576.62712,17313.09326,14686.96515,14643.07707,18144.60022,15864.5712,9449.230204,8545.737341,10396.56751,18152.46683,15586.22679,19373.71393,7959.183083,14322.6936,22746.82302,15504.0554,15153.07199,23392.03432,14548.62261,18391.9733,15925.96747,14718.55125,12083.80789,17586.88113,13993.29152,22513.15547,21535.8994,10925.10951,19348.14884,26932.13379,24942.99293,12797.0015,15118.07763,23701.99055,18509.95778,15440.74125,16672.14506,13827.78218,27463.64378,23117.77543,17840.61308,26581.77921,22286.29785,12137.68243,30845.47817,9446.695969,11807.67776,10154.69697,15913.98409,2961.401143,10737.82274,13818.42252,18009.01582,37946.85523,14024.78249,17985.20245,14382.32662,26211.48568,15354.74197,18852.40283,4184.484195,25736.22376,17846.81938,12246.4065,20568.54243,17457.50265,16518.11572,23728.77055,12581.49776,28619.06603,27243.19862,7265.304212,15821.25086,40075.06096,22573.05947,20815.16807,9857.260164,18491.07076,22318.9887,6759.257001
P162-PWY,L-glutamate-degradation-V-(via-hydroxyglutarate),3663.751673,0,2049.246477,5044.166365,323.1707451,0,1585.815585,5241.213171,1744.511784,0,2948.976044,2747.000104,1041.745809,106.4124681,1898.286794,1242.204914,2034.421939,0,0,5275.81822,1917.138947,0,498.1595117,4467.350695,1615.179616,43.79025003,854.9696577,4162.114482,1304.695501,0,0,952.285486,3151.865435,0,192.6068827,4887.510885,1023.045729,0,2056.075148,5357.052215,1762.583508,0,234.79692,1070.902314,4800.036563,324.1179961,745.5466149,3722.112287,1495.688745,0,3912.389264,3278.356929,1449.976204,75.63911006,733.8332162,3583.369077,2169.524395,0,393.3925904,7636.15994,3855.340497,59.54820264,2336.466749,5141.76416,5321.615053,0,1013.865222,992.0584021,4724.315028,419.2309808,1335.799239,5163.031666,4074.25243,87.26379314,1404.695613,9306.388393,4870.158256,0,1630.821514,4601.064837,4699.276651,235.9499989,1587.724858,2942.755142,55.13793158,0,2702.287203,1885.80324,3108.032308,0,1703.379831,5149.801463,1281.25383,0,2422.097412,1657.545988,4611.580713,638.3968058,3007.620457,6285.128709,5017.768693,0,2079.218536,1811.972447
P163-PWY,L-lysine-fermentation-to-acetate-and-butanoate,744.1052757,0,580.2565731,1095.288951,1004.398942,0,858.8938977,595.003118,193.816663,0,455.8277673,561.3248201,38.89486223,0,376.9298423,336.179584,390.3939191,0,0,1612.29757,874.3369692,0,0,1568.820116,300.3623387,0,117.3374588,139.551955,198.5068476,0,0,0,1331.834953,0,96.88500939,629.5270035,114.3996965,0,391.1711385,1598.430362,238.7324388,0,50.7606648,196.3441598,1099.855841,174.0481278,355.3969054,372.9149433,109.3624049,0,489.741934,634.2227528,197.8755843,13.28164417,310.6603819,1085.1722,484.2921454,0,203.9261064,696.1296502,972.4669637,0,686.6440541,684.833823,1611.712496,0,480.335004,284.4299553,1244.695902,0,699.7343468,1873.547682,735.9906876,0,414.6260946,1820.884702,727.3009729,0,187.014495,933.1354225,434.3022128,0,434.977779,286.8239461,15.23368932,0,891.1749757,0,707.2402844,9.836726968,998.2768193,365.9793563,0,0,406.2381633,0,0,73.85787861,828.7187618,224.4621307,61.27002626,0,506.9030821,153.62653
