pathway	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz
superpathway-of-L-lysine-L-threonine-and-L-methionine-biosynthesis-I	26638.0344	11316.77153	9958.83782	14168.59293	21916.46479	27089.70487	20514.10729	12037.04138	18908.71381	17789.9588	24844.82561	19503.9039	13374.68254	24948.86231	15512.39947	11096.99203	12912.26976	17155.38839	13258.64277	8205.12402	15646.2428	18093.08637	19362.53586	9869.02833	16700.94278	22314.11314	13724.28983	14691.48649	20099.09322	24573.03815	16387.32578	9047.95217	15807.79839	24521.17439	27479.86797	18020.52122	15056.87229	18175.39158	27830.7478	21252.69729	24743.44	32430.38916	26478.00676	10027.18035	20975.78146	26282.58908	19497.16302	12868.4453	25173.50746	27173.84576	32050.1861	19588.2792	27375.29488	34080.58385	32664.49595	13024.31416	24321.8538	31499.61572	28465.3634	18204.78032	26831.42325	30887.64861	32829.87459	26044.36633	24906.69736	31264.91666	28678.50794	15022.0226	31500.50231	13239.8888	15561.81295	13487.33181	22701.666	28930.61195	17107.03248	20342.36435	23960.9021	25350.4247	17401.46939	15090.0313	19873.205	35263.01534	18598.9876	15261.17564	8606.62397	30699.1156	22520.82784	14922.0335	23958.763	24570.85758	17610.90023	16657.44016	14796.30524	36593.06882	31830.83069	6972.1131	14254.72066	38041.25794	23974.05147	21363.7703	14970.96378	23804.4242	23321.62364	9350.41584
incomplete-reductive-TCA-cycle	24147.5567	6738.00697	8282.06814	21919.53031	16218.51109	9064.74734	13811.93302	17167.22424	12657.54141	3421.6992	13767.49892	23414.7625	11423.77477	6108.62104	11132.66074	10011.03107	11585.32275	3822.20465	3360.31081	14717.73082	12851.9705	5633.01528	15780.78626	14805.32911	9308.66803	11784.55578	8237.491	16049.90053	17015.09633	10684.97405	7897.79837	11334.94247	10391.7569	7265.52247	10742.37873	22529.14356	8671.74246	7169.129	16721.6418	25324.88946	19949.46	13521.05151	10767.49064	17254.06894	23980.31151	7456.41237	10204.99809	16052.42779	14804.48797	11756.68526	30111.40107	22192.3458	14832.18012	15338.02076	21024.37951	17711.3405	17582.84493	10645.60283	15721.8929	25510.61352	16540.92869	8449.19271	15863.08008	27222.14089	23474.88165	16485.37128	17795.09268	19665.85	28637.0466	23674.7266	9936.9464	20368.83627	23865.1347	1661.66311	33615.88429	29673.44189	23574.3524	15648.31295	15593.93063	20174.47515	17973.9124	16067.03806	15198.1522	16769.42763	4038.6102	15156.65503	13288.59166	12050.2515	21678.6468	8796.389971	11818.80451	19361.54668	20058.7098	12320.40495	20405.51381	6437.13401	19087.77991	12190.56009	20681.12255	26980.0615	17144.15386	4725.193	14501.84679	10296.07055
superpathway-of-N-acetylneuraminate-degradation	10871.1707	4548.43506	5993.0939	12110.48246	14864.90536	13193.47199	16587.72406	12505.1241	11855.24127	9853.9473	17993.38037	14696.8089	9072.21503	11530.07829	11198.45725	9032.2029	7480.305808	8547.8809	4711.77012	4999.00727	10442.285	7164.11136	12946.42318	6975.21234	9758.09075	9569.21155	10820.85933	10123.63267	13589.15865	5908.010483	7700.28715	7806.55183	9103.96311	10942.28157	13141.04204	14103.80213	6145.14749	7572.43809	16715.352	9169.14097	12283.12	17184.86877	11645.86403	13781.39846	14245.26777	6883.19694	8188.70377	12880.72206	12160.76231	11820.66175	19590.10015	11775.615	11278.97789	12754.71517	19138.78033	12590.54538	11743.15249	11264.12099	16490.7633	11048.59194	16857.60529	4886.52152	17364.68991	18459.02303	17673.02341	11279.59459	16197.766	13410.2734	12816.65486	14885.4169	8341.7851	9275.22702	11493.7519	1624.04935	19457.32546	10043.08748	12592.3086	9179.063273	11722.31411	13617.30268	11525.8332	12301.58089	12653.6154	12740.13383	3727.39948	12909.85089	15513.42346	8537.0265	17578.5998	5041.344076	13851.93462	12684.91592	14403.8612	12599.54126	20615.18496	4386.06277	6685.10236	13991.97306	17731.55419	18226.2588	8060.06424	10052.2816	16458.91645	5633.641
hexitol-fermentation-to-lactate-formate-ethanol-and-acetate	5447.1595	1296.01905	2626.17345	1120.53821	7925.36676	6870.17375	10974.1247	1629.35013	5019.58576	2681.8827	6521.242922	4691.7207	5941.68066	5884.09167	4427.73745	2728.61412	4835.742422	2918.29339	2499.14267	585.31544	4378.1509	4170.44854	7794.81505	1499.64804	4215.11851	5180.98368	6855.54999	4445.70724	7378.1663	2654.682168	5921.02791	3899.73201	3777.5601	4102.06172	5609.41553	5159.93702	4423.1739	4197.80576	7499.026	3248.8472	5900.146	5675.06427	7944.83372	8069.91794	6509.31869	5507.76087	6774.36057	6495.58103	7549.73688	5328.27514	8705.26138	5872.696	5976.47147	4051.02611	10682.91091	6987.67847	5183.53856	5435.59865	9865.8976	3347.02822	6007.22167	2134.63105	7415.19948	7233.16131	5614.09399	3558.180003	8314.89722	6223.0876	16049.4707	11542.5451	5948.56903	3814.1996	4999.4419	721.68432	14424.2972	6905.4937	5880.9257	16064.34823	6296.01037	8002.67654	5342.2267	11344.78598	8684.2617	6080.07807	3011.84586	10877.40181	4322.33474	2574.8115	9503.5016	7390.341306	4700.69409	4649.07034	10653.89478	7044.22827	11776.59077	2445.18481	2279.80514	8728.54271	10018.33921	11029.083	3242.38227	6044.8469	8545.605464	2315.20922
myo-inositol-degradation-I	5847.8874	2772.37612	1959.24258	3801.67439	3057.47164	6774.55311	1783.17539	918.20082	2149.78778	2361.6844	3152.850558	4539.8435	1903.78593	2964.22989	2269.21447	941.3175	1840.932168	3331.89774	1489.72448	1703.95691	2004.767	2530.96058	2479.58522	2158.57194	2557.85878	6096.28268	2202.62805	2137.250062	4264.24802	8057.022143	3685.45938	1669.08139	2271.39228	7487.88878	4084.94318	5601.48941	2148.93109	5951.91144	3466.2046	4331.04632	4885.21	6533.58253	3895.6527	3064.70935	3510.63751	3861.70022	3385.72963	2310.8667	3676.87045	9820.11346	4784.53269	4535.1627	3474.58455	9571.91196	3953.19796	1312.86766	4270.44737	8990.22841	4350.0073	3317.09678	3184.53717	7722.47583	3676.52777	3941.87923	3683.2165	14100.46244	5088.11346	2864.0961	4658.70667	1386.1289	2762.03573	3838.99089	3234.1295	28334.46981	1278.2642	3128.50694	6026.0996	2394.915131	2706.9615	3328.92996	3285.9763	10391.62883	4072.4702	5093.50175	1841.7992	6395.56631	3176.48225	3580.5997	2340.7545	8947.440459	1350.26595	3079.83714	1659.36417	11936.85879	7295.94143	1105.02985	2680.55445	14043.10532	4831.4647	3726.4893	2591.68762	3311.7622	5183.868026	1339.80479
nylon-6-oligomer-degradation	0	0	0	477.07368	0	269.79558	0	0	0	0	0	0	195.30228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.61318	0	0	0	0	0	0	0	0	0	0	0	107.4574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413.46662	0	369.75953	0	0	0	0	0	0	0	0	400.13326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphopantothenate-biosynthesis-I	28935.6765	13908.39222	8499.32379	19710.57921	20071.92052	26450.55112	19163.66366	16380.23309	18471.63696	16429.3148	20484.19803	22692.005	14233.48851	23622.3357	13754.97042	10154.72109	13184.79296	15537.38562	23989.15446	8755.64425	15055.7621	16200.91461	20378.17179	9435.71009	16364.86171	22240.18969	13329.91471	16656.68627	20888.2922	24998.07938	16145.56689	12020.66128	15540.17947	24343.088	23065.53919	22746.22708	14564.56828	17394.73176	27228.8229	24384.70804	26111.66	32744.91196	25558.08221	20131.83165	21495.09826	27348.89295	18148.13026	16783.10717	24600.27719	27297.45431	33094.8122	24230.9513	24933.41054	34322.11832	32754.51194	17894.64746	29178.09303	31408.30806	26137.2106	20886.2732	24556.40797	45721.05815	28689.18418	28586.54909	23861.75846	32616.71613	27015.07318	21752.5972	31140.41368	24044.5227	14754.19049	16463.70522	25788.9057	40517.48879	31950.25946	25199.80166	25124.7407	12779.58733	16725.01325	18936.1688	20504.1565	32478.95559	18687.9497	22325.23362	10910.46438	30309.72292	17832.83689	15990.2294	26316.9728	23543.69817	14691.05072	21624.94456	20870.44068	34875.55952	30798.53466	7728.53053	16631.45101	38117.07152	21644.89517	25712.7017	16625.2966	23409.6957	20485.82753	11427.03047
pantothenate-and-coenzyme-A-biosynthesis-I	26704.2421	15510.13283	9445.36759	19172.54634	21417.15357	26953.53328	19945.24341	15766.73969	18202.15218	17008.5278	22531.62664	24596.9181	14332.20792	22662.67062	14901.42529	11320.36544	13773.56711	15439.6429	22697.18929	10700.99638	15448.7437	16695.07942	21109.78862	11303.2978	15013.90524	21222.27053	13837.10847	17874.4922	20194.87692	24873.27719	15321.45919	12418.46224	15451.86593	22920.32897	21479.24896	24816.63142	14486.93021	17352.481	26336.2415	25496.08235	25029.68	30757.34813	24840.00676	21251.88888	23263.95589	26146.16947	17263.61465	16154.37479	23394.97423	24741.12311	30236.19996	25289.1154	24250.4619	32000.37034	31612.50622	18743.92536	28925.60481	28663.85052	25632.6829	23244.3082	24036.52389	43289.92071	31083.89322	30001.14135	24669.93757	28314.31561	27863.60428	20114.2456	31888.64812	22605.3038	14207.71045	17656.56607	23067.5786	37790.88645	30646.63255	26171.63964	25961.2522	17070.03642	17096.08368	19678.38492	21597.6088	32265.2864	19771.2618	22213.72601	10445.7424	30899.78743	18469.61044	16362.4438	26851.4813	24167.91391	15091.09876	23113.01833	20050.07125	34744.35357	32647.14142	7955.63686	18242.81442	37387.51396	23854.38436	26506.4251	17384.20011	22792.1328	21716.60135	11653.76309
pentose-phosphate-pathway	31094.8635	21540.97531	11491.11592	19480.6685	25166.50405	33960.89242	20904.82944	19338.06277	22375.56371	18623.3962	29123.84239	28103.5256	14869.00004	26727.8032	18365.96158	11548.20456	15313.10482	17902.12652	26396.24906	12519.0791	17823.4934	18477.96256	23206.59433	14225.72268	18798.92197	24091.83395	15842.67728	20591.05762	23487.52344	25218.89818	17534.46614	13675.40473	14287.03433	27388.91231	26552.32529	27568.98179	15679.1221	20099.38564	31657.1257	25156.4217	28723.45	31676.57497	27356.66285	22668.76952	24657.50536	25538.52264	20427.47157	17056.874	25376.7775	29582.28947	35968.14096	26380.563	28864.3041	36723.71195	35852.3502	17142.57871	33235.38965	34552.17369	29863.3418	23781.72731	29915.12961	35372.28103	35511.0896	33527.69766	29909.64157	36655.33323	31753.56625	22457.1055	30107.75014	18516.588	17078.24426	19234.24901	27819.0485	48855.99037	22347.22181	23896.71375	29258.5945	26214.87968	20816.87257	18025.72254	24073.0781	39386.42591	20525.2291	24286.3027	9233.80446	36772.89902	25643.75745	17870.5429	28816.5018	29401.1637	20703.75727	25367.20782	17372.47741	41383.18854	37821.94132	8917.88452	19021.31004	44007.78451	28100.0398	25862.6783	17928.74837	27946.8	26952.59283	12429.63882
peptidoglycan-biosynthesis-I-(meso-diaminopimelate-containing)	34307.8106	26732.78854	13055.10473	26659.85397	26874.07837	32148.53719	24685.51765	28456.47254	24082.26088	19960.7573	29691.53994	31996.2368	16205.77503	27478.73782	19509.80856	15465.90124	17162.55183	19226.9915	23260.34787	21267.18567	19930.0208	19024.08974	23941.61283	21269.94048	19739.84609	24794.63916	16621.39382	23714.67731	24763.53145	26373.18023	17646.32065	16285.78461	19270.70543	26070.35449	28378.81915	32718.78678	16745.85445	19614.83359	33765.7759	31518.14041	31069.6	35562.87466	28246.89641	26718.09265	30040.95446	29016.17449	22218.77004	21532.29089	27673.46547	29760.15863	40586.24787	30109.758	31034.30431	37223.05827	38135.89333	24246.1528	34035.43985	34860.11545	31557.2027	32469.57618	31950.75653	42602.59413	39981.21767	39185.71881	34305.12821	33437.62493	34258.11358	25904.3596	39082.37055	23980.1819	18821.20732	26302.68698	31243.9976	37938.15798	32972.28768	35392.26679	32612.5975	37683.38654	22888.23483	25275.49078	27258.034	40045.28752	23311.9008	26430.32679	10600.42635	36526.40952	26440.55195	19853.7595	33908.3764	27852.75456	22536.88871	31180.31202	22187.20378	39921.64462	38442.9247	10124.16288	25463.52931	42856.60055	31991.82125	34351.0717	22990.31805	26576.6779	27399.81833	14571.61928
superpathway-of-phospholipid-biosynthesis-I-(bacteria)	43510.686	31333.68022	15719.81621	33573.35146	33235.23655	40486.151	30783.48088	29725.23299	29208.95644	25928.6898	37023.78862	39175.5237	19836.12894	35062.34481	23574.23863	17573.62795	20693.3538	24708.06274	38499.78879	22648.18113	23997.7285	24400.04964	30884.95985	23247.69892	24566.94713	30960.3725	20361.78075	27545.29835	30350.75392	34968.01046	21699.41901	19525.77916	23296.99789	33286.39253	35033.41282	39956.5746	21639.34534	25063.07072	40844.708	38286.92346	38262.67	43922.59992	33241.93059	32633.90788	35014.8687	37397.45757	26504.7579	25463.54163	32282.70581	37124.33896	47235.21947	38825.4848	37140.91952	45028.96295	46004.20023	26450.48819	40665.5792	43991.04419	38197.1121	35986.35109	38878.69381	70596.16159	48352.30729	46087.16425	40959.72588	43534.11329	42330.89293	30980.2116	48690.28685	28239.0584	22627.98306	30752.14987	37239.7119	63566.81973	37892.14308	43462.23221	40423.183	41335.9513	27534.63789	29965.52263	34268.7442	50043.22132	28764.8399	34714.6224	15963.92466	46321.26221	32925.26341	25660.1638	41538.0904	36116.12646	26856.62337	37556.84029	26197.20286	51953.21136	49111.12949	12497.03191	27308.42413	56382.41444	38087.46406	40485.3974	28822.64477	34345.4457	33562.83524	18347.16968
superpathway-of-polyamine-biosynthesis-II	4082.49	1609.03915	1350.69967	4918.81775	6654.63651	6555.40455	5691.11122	4295.6221	4405.05252	5837.2315	7047.361389	5880.3469	3815.82466	5576.69935	4140.33954	3538.79822	3228.050871	2883.97946	5229.83386	2801.43535	2960.3408	3786.90801	4913.36858	2292.60653	2734.16875	5169.69678	3607.43379	4083.649951	5105.90396	2765.778193	7182.49062	1033.73957	3910.42768	5246.0289	5648.87232	4803.16976	4632.02556	2773.25179	6413.1284	6154.77763	3983.985	9133.65746	6416.32458	1815.29495	4814.09804	4335.19187	4355.79349	3496.59812	6076.68358	2731.09202	6058.04751	4103.751	6132.01647	8173.02173	6853.55767	1263.22896	4906.89422	7247.17778	6454.8825	6747.03119	5104.02803	5533.48289	6836.00627	5847.16911	4849.04327	3725.51064	5639.28175	2112.4422	7402.87779	1662.243	3265.79096	1757.08122	5363.6419	1808.92622	3030.02131	6594.22551	5829.2223	3062.201107	3815.98407	4808.43605	6177.7725	5267.49449	4260.9738	4970.82472	4555.51424	5355.10031	5745.85659	4824.5799	6127.0659	2451.822123	3422.14919	6645.67577	3058.54091	6934.2836	10211.06851	2444.86329	5883.04765	7009.78028	6501.21399	6043.6157	5388.03549	8354.5123	8354.620993	2604.28376
superpathway-of-polyamine-biosynthesis-I	4081.8062	1615.16876	1769.657	4311.47941	6749.59369	6746.47648	6268.36091	4321.80427	5752.14308	7082.5991	7966.383142	5880.8856	4321.97049	5631.79315	4716.27066	3589.3829	4364.415009	2969.06193	4074.77824	3245.93965	3256.3969	3753.65577	5021.26573	2552.75108	3935.40517	5262.89491	5287.80069	4459.856183	5323.34881	2780.888897	4924.92885	1629.57862	4583.49157	5408.46441	5786.66169	5726.95723	5300.56608	2810.99744	6854.5325	6096.03383	4150.152	9276.18527	6351.19927	4211.68653	4865.04999	4333.55253	4207.05663	4622.10187	6319.40119	2772.94851	8036.31235	4050.2007	6377.74805	8305.35778	7208.28887	1885.095	5226.10891	7360.76657	6709.5319	6612.52162	6083.61581	5425.73057	7463.40945	6040.47415	5049.62461	3722.945374	5795.15429	3460.3706	7152.17282	2406.7963	3299.20892	3477.63296	5598.5848	1732.61919	3399.13151	6300.44681	5860.1294	3066.676943	3947.93602	5209.86755	7395.4597	5319.25737	4295.0853	5282.32121	4158.96313	5423.65476	6237.12094	4926.0004	8036.02	2447.966051	4014.62301	6731.01174	3960.08577	6893.08155	10065.81087	2441.79613	4053.20559	7019.43887	6612.87726	6150.0505	5134.03157	8713.6946	8694.089835	2445.01059
polyisoprenoid-biosynthesis-(E.-coli)	28702.7839	23300.30725	10977.39663	20277.90722	21442.27621	26430.23885	19254.94938	23269.31537	20529.669	17632.1677	22956.54547	26458.1348	14612.20774	24372.09925	15341.1879	9691.75805	14777.69295	16875.38839	21836.70283	18146.41695	17452.9251	17799.98623	18450.16374	17981.70266	17638.21274	21771.15932	14474.0431	23532.24752	21445.18237	24907.48916	16805.063	15800.35759	17069.52276	22761.03052	25654.16097	27757.43032	14618.82387	16559.29772	27020.8413	25546.46805	27105.62	33000.43254	25508.18572	24491.53223	25572.99621	28867.16305	19486.88931	19541.11751	24242.31048	23314.7536	35905.32106	24696.5844	26857.24985	31234.26005	31579.98503	22390.49387	34119.13277	29138.66921	27470.7471	27429.32609	27719.74132	40904.60074	33606.34078	34783.58864	30407.08018	26813.44194	30020.99406	23366.6502	31728.06473	22498.3357	15160.01927	22960.76613	23996.2994	38138.92591	30050.79387	28385.55742	26803.3914	32723.54365	20285.33957	20586.34165	22972.3091	34352.98842	19271.6241	23219.99238	10398.23121	28712.08112	20903.10183	16658.7095	28733.6477	23369.8217	18243.34499	25228.20218	19925.35564	34579.41465	30478.9794	8498.19013	19531.96839	34429.16862	26507.12502	30590.3933	18944.08218	21648.6811	21390.12136	12032.97235
ppGpp-biosynthesis	17535.8026	9214.80172	6659.37349	11382.61372	14309.51206	16651.33493	15489.92878	2724.87595	9084.65582	11287.868	17738.62378	10038.1184	6404.26361	17717.82318	8867.79483	1798.88916	6733.885274	10258.23521	6197.23905	893.04811	8781.0529	13449.89362	12665.94363	2756.228	9303.64739	11370.43334	7282.30541	6943.853281	9368.34593	18873.59626	12090.88773	4555.44955	15944.06364	15500.97504	20790.50515	12598.01175	11218.56706	10779.88361	17529.555	14858.59699	13799.91	21802.05242	16703.8489	7823.02555	11433.13387	23702.34708	14681.34566	4322.75635	13638.96764	13243.76028	12975.53195	13748.7351	16138.59815	17299.2069	19241.04691	1897.66219	12824.25947	20183.90821	18677.2478	5209.16094	17190.31442	36654.80231	19121.79498	12975.85296	16700.49521	21864.23522	17205.47878	6981.5818	25943.64187	6136.5468	11838.22976	6902.13452	9423.7155	35380.79055	7850.0389	15540.21597	12683.007	9657.115662	9013.78925	7360.49412	11710.3054	24983.64239	12910.7179	12396.892	7909.96247	19075.99577	16360.35394	9343.7787	13754.5139	18325.28237	11078.32042	10383.43792	7337.56631	27720.3064	22519.12077	3987.76034	5236.93987	28257.12614	12534.09469	9412.5677	9236.72225	11468.6255	15302.74148	4769.1427
protocatechuate-degradation-II-(ortho-cleavage-pathway)	15132.7971	6693.69019	4511.38442	9787.64719	8917.95115	17388.41037	4335.48987	2746.78289	8254.30929	9295.0177	8857.157751	8246.5803	6440.28069	12236.52838	5446.19421	1552.87967	5333.623315	9486.99235	25474.15774	2288.55079	6960.0169	10337.85242	10210.4889	2343.98161	8082.08641	15332.21436	6084.40689	8060.477792	8399.96998	24795.37961	10628.04356	5444.05544	13954.83487	20326.12288	17299.88037	9168.8179	9355.20335	15656.0688	13056.6588	9852.32268	15937.34	17373.18432	15960.63842	7083.1758	9412.05857	14643.79824	11643.46073	5217.46476	14527.1695	21245.97717	13614.8605	12018.6834	17973.64702	22203.54678	17212.4486	2884.59465	9981.03473	22815.9595	15967.8627	6776.44323	11436.91617	50476.72085	16925.34127	9814.95142	11910.35423	31577.11593	16457.62717	7338.9864	11225.19444	5546.2697	9527.33244	6680.87657	9345.0328	41530.28526	5539.84582	10405.8184	12554.7156	6771.632255	6899.9433	5184.81742	9821.6367	24030.63992	9239.4464	11174.05554	9656.53881	17623.64632	6757.70594	7227.5968	13355.1963	17737.12099	4603.98436	8808.91293	5022.60206	25621.0324	14341.28369	3666.7918	4239.03824	28320.0693	7177.1094	8499.9139	8155.88705	14458.6814	8908.676255	5017.16903
superpathway-of-histidine-purine-and-pyrimidine-biosynthesis	26732.606	14209.76731	10592.3234	18238.4393	23094.18079	24507.8693	22953.62925	15109.00687	19575.14411	15021.3586	25265.34888	23386.3678	13877.16226	18807.69846	16695.37929	11249.86034	14183.37693	14470.4908	13575.96888	8635.87694	16964.0356	12912.17671	18627.75031	12240.34123	16911.1372	20133.25295	14587.88885	16496.49418	20535.71541	22463.34206	14322.014	12294.22374	16201.01921	20789.00698	23349.79056	21220.59075	14221.02598	15513.95399	27934.7995	22314.16775	25168.05	25870.86049	20976.99658	19411.07268	24049.05339	20702.90828	18636.17623	16003.43165	21840.38732	21817.1251	34832.64054	22812.7578	25613.17276	29192.24315	29873.05714	18884.32065	27039.0409	28181.42484	26589.1212	21215.0099	27046.8329	14859.41829	34482.13582	29680.60137	27228.90274	22359.53529	29162.9619	20456.0845	35136.52363	15730.3286	15872.27882	14713.48911	25446.608	11108.47168	22178.42032	23955.54068	26849.054	26722.11035	19068.35066	19201.57278	22052.8964	31806.7083	20037.774	20939.57059	8629.046	27924.47767	21769.50155	14923.6553	28224.5907	21365.43719	18850.39174	20939.29734	18376.46537	28095.37014	31681.5358	7792.13917	17070.75868	30509.46569	26731.93496	25646.7694	16995.19502	19741.036	23537.32869	10716.25225
CMP-3-deoxy-D-manno-octulosonate-biosynthesis-I	13531.0005	5058.69373	4692.90588	8440.68469	12067.5545	13272.28033	11936.56518	6361.60927	9511.67668	13402.206	14375.97215	9141.2242	6142.08554	16730.78498	7576.78178	4000.93997	5880.948592	10224.07312	20029.45641	3757.9672	7363.5133	13685.11312	10222.3047	3295.12167	8675.20775	14834.83826	7566.6781	6266.726115	8712.10022	19264.98939	15053.12293	2866.13288	14072.6855	14790.65075	16847.8548	10084.49741	10659.36744	10364.99357	13310.98	11616.45129	11946.04	23164.70104	18142.64091	5207.65069	10256.74677	25750.22942	14055.33878	4136.61916	13576.99579	12816.96632	14507.40763	9632.4933	12888.87801	17249.92351	15253.69652	2063.51178	9246.321	17305.47801	15620.3454	8591.42265	13682.31476	33307.65479	14990.17894	10131.63254	11753.30923	16036.15237	13915.12121	4948.6174	19659.14273	4145.885	9605.19754	4668.35727	10292.1484	35866.72403	5926.69808	11682.08066	12897.2318	8065.697053	7233.66102	7562.88313	11144.4062	23197.28887	10387.1179	8708.28238	9615.99507	17587.577	12892.15311	8819.8188	12438.7535	14740.96531	8238.06914	8692.43952	6135.51461	25622.37471	19844.61094	3861.07367	10557.81036	25063.87935	10027.21939	9237.0737	8840.80039	13800.9076	13282.61149	4408.73549
benzoyl-CoA-degradation-I-(aerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767.54636	0	0	0	326.83369	0	0	0	372.59202	0	0	0	0	0	0	0	0	0	0	0	0	393.7557	0	0	0	0	0	0	0	0	0	0	0	588.85763	0	0	0	0	0	0	404.73633	0	0	0	0	0	0	222.044	0	1400.63572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vitamin-E-biosynthesis-(tocopherols)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554.56576	0	487.13088	0	0	0	0	507.00252	0	0	0	74.35199	0	0	0	213.88317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3525.9733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.54407	0	0	0	0	0	0	0	0	0	0	0
mandelate-degradation-I	0	0	0	0	0	362.52804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.21723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
