sequence	16S_rRNA_Count	metadata_NSTI
029cfdbfe16adc5191ebd41ea6bda74b	1	0.0040479999999999995
02aa1e0b65b6aebfb73e5269e122411c	1	0.012378
02acdcb7e42938274483dd4bba9c271e	1	0.022613
02bbf609ea7a8cc394084d09fe073d65	1	0.052596000000000004
02bc1c505a0d3a15c1e01937155f4d46	1	0.0293
02bd35d8fd89eba22b72368fe88e0d21	1	0.204913
02bdb8996701482620734ac571533500	1	0.250287
02be944be8ca48e2344a8f5d19e7828a	1	0.024788
02c016ac6b1039d1794e9fd53a3354ab	10	2.0818119999999998
02c77d0f4ca86ece332d33603f15e5dc	1	0.052778
02c7e48d6bbd4a055da0284751a2082d	1	0.019908000000000002
02c92115a7079566363d8b8b98f7bc09	1	0.020672
02cf989d95e99d44b735188d66f61e78	1	0.10413299999999999
02d37dae9cc6f679b4e1c85180171d59	1	0.169725
02dc422d3bf99f9efcc1775d034dcc81	1	0.182897
02df00a78f1d35b9bec4f4eb209cfa4f	1	0.012392
02e1d1746e331681cc867b916828d650	1	0.17877200000000001
02e3ae3ef64f7d7ae938f1c700721e94	1	0.157296
02ea68cae71403b758033067cfe5a360	1	0.01575
02eb14756404dba9f180e72b787720d0	1	0.016168000000000002
02eb1f7eba4b22a0836ef94b63cda20f	3	0.034976
02ee285061c584596edad0cd64b86483	1	0.141298
02ee4485f929792a5fba498afe82a502	1	0.024109000000000002
02f3adfd37c506829486b5871aefbd62	1	0.024697
02f457a114284b3a1abccccdd5b8ad83	2	0.047827999999999996
02f784d960ac899e9729f253fb2f298c	1	0.136384
02f8756050acb7cdf2b54e2d286738bc	1	0.022537
0303a74829d93fc0d518a82b88a9cc94	1	0.05707
03070c440d971e253e726439fbf0f1ed	2	0.170402
030d325648791e580b1a727ecc833492	1	0.107401
032068c82e842cdba7c30f1ec62577f7	1	0.016093
032311629ca4da16b33a6813bcc0da41	1	0.008033
0323a14000fc1e7eead7ee2c4f42cff7	1	0.05778
0324516235067b9bf06e4c59e1b37f61	4	0.09943300000000001
032453467d901dfe3f144e18261a8f94	1	0.012229
032daed6ec07ad148cff5248ad400165	1	0.013375999999999999
032e087bf6c1a9fec929945c6a02c776	10	2.581497
0332b649c5966d2679b06adb9e470fb6	2	0.08989
033447a586653f1299f449dab260084b	2	0.25351799999999997
0335a456f9ac408bc79ff455bbea5021	1	0.17343
033793814a8ad9678d3f6fb55935f3c6	1	0.01627
033cae5a0b437b79c9e5190f7538f866	1	0.15820599999999999
0344ab881f294ee9a9d28e2517b57f26	4	0.016303
0345f581c71da4e94f76ae15de1b069d	1	0.123051
034b89df4c36e34e417681e66df0ba3e	2	0.061549
0357aefcdf405681a1aba7b7d642f760	1	0.10616800000000001
03580a02f50b5226b5c838c4fffa788b	2	0.221306
035847023c0d65439611aab0f88083bc	1	0.13306199999999999
035c6eb25415c96760c335c71889a617	1	0.070158
0361d56ba7e7a3b5f82e40338f0f2db4	1	0.033852
03622437e59e5c1a2bbdcde7e90e81c0	2	0.1397
0364ffed30545e45d6c67c84edb662f8	6	0.012054
03688db237fd3cfe0bc7823c8e7599f4	1	0.13381400000000002
036b2ce8a15526fec550404eb4aca454	1	0.044374000000000004
037344032595065614b404e92117d196	1	0.081086
03745439984d608295792c500f1831e8	10	2.581497
0375cd17413578cc2812a36d8ffcbb1f	1	0.183855
0384eb3d0110116e95f5730ce617e328	1	0.128692
038ea2b16b3d2a75cff3f76cc1d98e46	6	0.01618
038fb31868f649f36f6c19712ca61559	4	0.020298
039393d2f76ba52c6ec767bd423ba48f	1	0.012195999999999999
039526a2d6364c64dba9045b60c78ec8	4	0.008117000000000001
039684fb6f02d8da9f9283a63af231cd	1	0.016624
03a063178ace89fb250db11827c4f309	1	0.259538
03a06ce76c525aa5d62ce1ad2c471144	1	0.012061
03a06e6ccbac89e1941ec30fbc6a34a4	3	0.023337
03a63a4749d9d5ac12fecb828a6a98fb	1	0.10820199999999999
03a76430e43e899a463ffe496feb01fe	2	0.06168200000000001
03b42cf504ea7d4bcec8648972293a9b	1	0.012116
03bf13631ca5b7c7dc5a6d5c65b45478	1	0.024631
03d1cb5df895164a07fe1f95032236ef	1	0.183605
03d632b4525693f0ca693ab7afb7626f	1	0.011826999999999999
03d9f39bfe44663b055d5b897fdfe3fb	2	0.052080999999999995
03db540f972957558cedb4f3c85e49fc	1	0.091012
03deaaad0ae4bd07c66a418c4d8c5d40	2	0.217245
03defad0930fd02295ea7ddbceb4f034	1	0.040447000000000004
03e953433da9eb30ab50417b2552f55c	1	0.008006000000000001
03f51c0e5aed8115bcf3e7b83eba089a	1	0.26526900000000003
03fdb46511aad713a0a7d6fa007f6453	1	0.032931
040067015c0074ad78b8971590804a59	1	0.13966900000000002
040166a10b41fdb526741845c31b6fd8	10	2.581497
0405869f412363a464b5c0c5d598445e	1	0.175655
0406be1a9c4ecbb40e8b8f0ff366505d	1	0.029981
0406de013323313d69bb0c67ae1dd4c6	1	0.016215
0408ba3108f5f929397a1aeaca9ab723	1	0.012129000000000001
04139e7a6249b7a9a2081c00ab2931dd	1	0.063734
041ceaf7db699b0af852537f21c26dff	1	0.04747
04201102ea0e5a093d9ebea4cd62d8e9	1	0.027381
0424cdecac169d3fa6f4e6a35ddcdd85	4	0.068634
0427be23537fe868acab28614e2e8ad6	1	0.173505
04558a4bb37b59dd94757f452fc97e9e	1	0.11565299999999999
0460f598e375fccaa1c92d1a000b37f8	1	0.062716
04648f82869a680594881152218c7f63	1	0.036948
04678c0630828605a8101f290d1646aa	1	0.034568
046c665cba9bf0bdd83da71aef030011	1	0.039857
046ccd477f4e3147b6b6abf4ac40ac28	5	0.087848
046e7759163d396a4b7d085d0a839299	1	0.190717
046fcc6595994fe4ec7eef4aa1613385	2	0.012223000000000001
047060e40e899155b8f1785af50fb56d	1	0.054492
04761d27dc9cedd1903862d6713d80f8	1	0.100074
0479e364ba5d7007e9f870d8599d4b70	1	0.011037
047e2e863001e5a0de45c8c49660820e	1	0.021766999999999998
0480bdaffce7a4294a1e078d465febdb	3	0.068274
0481a13174ea75db693ce04834469794	1	0.40725700000000004
048cf0edcafea186749c7e2dd090fd13	1	0.008101
048d6bb474b716d6ca2f3f5a44ed5f71	1	0.008135
049887096d49ac92612d53e4d5faa91b	1	0.065067
04a26640705e42ba7c69f3414145cc11	1	0.20128800000000002
04a7f85a8a19c5731c9d402bbc364a54	3	0.054709
04a96f5179c40ffbe7269801682473f2	1	0.027835000000000002
04ab007a59066c40a4c1d71dbde28c57	1	0.012118
04af18a52910ec7fcd98dec3f0d93feb	1	0.028069999999999998
04b1d2922b400df87b0a392c75524d8a	1	0.003934
04b8ea8138c3c9e79104064dfe5bb5e8	1	0.041609
04bbed0dc5d5b519e3f78b65127abca5	4	0.021077000000000002
04c1229eb660bac062bcce810874573d	1	0.09585
04c41ff1a8cd2fe8bb19ffc612bc67c8	1	0.012115
04d3701f60a9144ae226343f21164986	1	0.033503
04d3d93a6e96277e8dc6cf3104e09878	1	0.037931
04d5ffedb3cf7d6d40ff9df8191e896a	1	0.057944
04dd97cc69066107ccdcaaa9e844bcba	1	0.0666
04e117741117a92ce64e566e98c3009f	1	0.047231
04e18ea9d09782af585330716f8f3672	2	0.159563
04e74bdd1bfbc33a6a529c67787733cf	1	0.374336
04e78441ff7b6f8d70fc3c8799ae3f7b	1	0.042807
04e85f50d909998e9abe871a1b22dc70	1	0.00015
04eeabc70e6f8b5f6d39106ebaa90c6b	1	0.024682
04fb410902f449c13a62a3040ead440a	1	0.016218
0502248dcc84962315272d602c82f5eb	1	0.044768
050406dc6747a5acc3aa93480991c969	2	0.012218999999999999
050892a18a0fd4fd343bcd27af2e1f1b	1	0.12473699999999999
051ec70a4ef4be1fa947d909c8215d54	1	0.024118
0522935d0875c8f68ca9dcf389892391	1	0.20385999999999999
0523411d065de0c702d7ec416a1efa05	1	0.09487000000000001
0523b3bbc7b73092470f13311f77e18a	1	0.056162000000000004
053068d2344d4a6b475535b534a8029e	1	0.020416
05341db367937a16fa8395174327664e	1	0.251762
0540ee2ed4345c6c0fef7829c606e8bc	1	0.063513
0545189c62867f077b96474a742ebcdc	1	0.016604
0546373ca353fc79615cc286587f4dac	9	0.048754
0550989c8162c7fdfb48d02d936198fb	1	0.206121
0555047260b902055058467cca0c55a3	3	0.077434
0558e29884e1cd85ee3bd8ff0d3473f0	1	0.634362
055ca3711f8706343517204e8e0bd543	2	0.353547
055d7d44782e71674c118eb904092311	1	0.046252999999999996
05603a56edd8a547d1b4eedadfc91770	1	0.016655
0560a6f6d55674ecb9edeac3984b7555	1	0.217648
0562310684933ab3a4a3e548220b21b3	1	0.065473
05656d8239013bab88b642b269205bb4	1	0.05611699999999999
05686ba52712972cfe26cff10d489f54	1	0.14998399999999998
0568dae4143886368b3b4a32de9441b7	1	0.249904
05709fd8ea34bd908cd9eaeead738058	1	0.08567000000000001
05775cc2cf2b9a6276314c7f72f99347	2	0.20829
057b0f953d8d090baa38499230b7d352	1	0.050547
057c89c5050f4fd598299253368ebd2a	1	0.065852
05859968fc8ec2b21289db86967d3843	1	0.039497000000000004
0588e253ac437b8559c728753985f74e	1	0.027112
058a593a59e6d292b9767df2553ddf83	1	0.090491
05905ba2a34168ef3ac33a44774690f0	1	0.050296
05912f7ddb6bf0f755138a80bb0f027e	1	0.08744600000000001
0598befca9e519d3fd686e0dc2af61df	1	0.169967
059bd8dff7d7a80c40e9b6f8599e010b	1	0.021083
05a49547ab2db4fd17cc65fc14d8fffe	1	0.161057
05a9ab96c2d81745e43633134f00f95e	2	0.014174
05a9b12fdefa191f38b2ad2b8c7969d5	2	0.046820999999999995
05ac580b548b9945783d98f83b0e3edd	1	0.012137
05b0ddd12fd815f94f71c0904112cc59	1	0.016279
05b27050d3c322ae6d3e892aae49014d	1	0.185128
05b3229ff4738793f21d95bf718bb67f	1	0.00398
05b57e86936adced697039ea2a28f760	1	0.029622000000000002
05c735bc7df87f30813bc4fb16b0c492	1	0.101266
05c8b820f05727eaa135a024debd22c0	1	0.094825
05d10d4a9e33e4a1c9465349f20441e9	1	0.074568
05d684f34b61ce629be89e468decf072	1	0.13263
05d7201040b3a784786e4f9c39b345de	1	0.028626
05dc45a2dc11b132cdee4f368c5b6007	1	0.012159999999999999
05e2bff8be7fa6a5b90ac49b1a00b5b4	1	0.170826
05e7a4a6e97ef62213a7ace55d4edd6c	1	0.015882
05e8e91c10a37602953dc1747cc31b30	1	0.007935
05e94ac5cd3bf4b8ee0be622f1777a02	1	0.062562
05ea83f8fd7f1be958e51a5504f33b14	1	0.016436000000000003
05eb011051fd2a0318d300044005c3e9	1	1.7793720000000002
